Emotion,Text
joy,내가 사랑하는 사람에게서 포옹을받을 때. 
neutral,어? 
anger,내가 매우 친밀하고 육체적 인 관계를 가지고있는 아주 친한 친구 (그는 여자 친구가 있었다)가 나를 피하기 시작했고 더 이상 나와 이야기하고 싶지 않았을 때. 
anger,뭐 ? 당신은 나를 과충전하고 있습니다! 
sadness,그런 다음 내 아들은 나무로 운전하여 
fear,우리가 10 구역에 갈 때 개가 나를 쫓았 다. 날 물릴 까봐 두려웠다. 
anger,이었다. 납치범들은 자신의 생명조차도 인간의 생명을 존중하지 않았습니다. 
joy,"우리는 캐나다 선수들이 월드컵에서 우리를이긴 후 그렇게 잘하는 것을보고 기뻤습니다. ""! "
joy,좋아요. 
anger,끔찍한 식사를했지만 그에 대한 대가를 치르고 있습니다. 
sadness,할아버지가 돌아 가셨다는 소식을 들었을 때. 
neutral,예 . 
joy,오랫동안 글을 쓰지 않은 친구로부터 편지를받습니다. 
anger,나는 미 샹가 판매자가 내가 학교에 가야하는 교통비를 빼앗 겼을 때 매우 화가났다. 
fear,이거 한번 해봐 .. 부엉이 램프가 없어 #sleeptweet 
sadness,노동 지지자들은 선거를 앞두고 Tories에서 도망 칠 수 없다는 사실에 절망해야합니다. 
neutral,당신은 나를 사랑합니까? 
neutral,다섯시에 . 
sadness,"설명 할 수없는 과정을 통해 케이블에 흐르는 전류에 의해 생성 된 자기장은 우울한 사람들, 가장 어두운 느낌과 낙담 함을 유발하는 것처럼 보입니다. "
neutral,"네, 언제 집을 사겠습니까? "
joy,"저는 스웨덴에서 여름에 일을했고, 제 남자 친구가 제 생일에 저를 만나러 왔습니다. "
joy,주말을 친구들과 보내고 있었어요. 우리는 다른 친구를 기다리고 있었고 버스 정류장에서 그를 만나러갔습니다. 거기서 만난 한 여성은 코치가 이미 떠났다고 말했습니다. 친구를 못 볼 까봐 두려웠지만 마침내 그를 찾았습니다. 
sadness,내 친구가 내 남자 친구가 이번 여름에 다른 여자와 함께 있었다고 내게 말했다. 우리는 4 년 동안 함께 외출했고 지난 3 개월 동안 그렇게하지 않았습니다. 믿을 수가 없었습니다. 
sadness,시험을 치르기 전날 여자 친구가 두려워하고 불안했을 때. 
fear,# 후회-모든 것을 남겨두고 인생을 즐기십시오 InshAllah! 
anger,"그는 기분이 상하지 않았고, 정확히 통회하는 것처럼 보이지도 않았습니다. "
neutral,내가 가입 할 수만 있다면! 
fear,산으로 여행하다 길을 잃었습니다. 
neutral,재미 없다 . 
anger,의과 대학의 신경 심리학 강의 참석을 거부 당함. 
fear,"@fmpundit, 저는 4º 웨일즈 디비전에서 뛰겠습니다. "
fear,나는 친구들과 스키를 타고 있었고 그들은 스키 점프를 원했습니다. 나는 뒤처지고 싶지 않았기 때문에 스스로를 견디고 따라 갔다. 
anger,우리 뭐 할까 ? 이 도랑에서 차를 꺼낼 수 없습니다. 나는 붙어있다! 
joy,제 친구 진은 매우 아름답습니다. 
anger,레이첼은 그이면의 추론을 볼 수 있었지만 그럼에도 불구하고 데미안 플린트에게 화를 냈다. 그가 그렇게 분명히 옳은 일을했기 때문이 아니라 그가 항상 레이첼을 넘어선 상황을 완전히 통제했기 때문이었다. 
sadness,"`인기있는 이야기는 그가 너무 마음이 아파서 종교 질서에 합류하기 위해 도망 쳤고 이후 안수를 받았다는 것입니다. "" "
anger,군 복무 중에 상급자가 나를 부당하게 비난했습니다. 이로 인해 많은 상황에서 마찰이 발생했습니다. 
joy,내 반은 축구 경기에서 다른 반을 상대로 이겼습니다. 
joy,내 친구는 아주 멀리 여행했습니다. 나는 그녀를 그리워하지만 그녀의 인생이 원하는대로 올바른 방향으로 가고 있기 때문에 기쁨도 느낀다. 그래서 주로 그녀에게 기쁨을 느낍니다. 
neutral,안녕 자기야! 뭐가 문제 야 ? 왜 얼굴에 그런 표정이 있습니까? 
fear,성적이 나빠서 내가 원하는 학교에 갈 수 없을까 두렵다. 
neutral,"5,900 달러. "
sadness,교육에 적합하지 않아 교육을 종료해야했습니다. 나는 그 훈련을 끝내고 싶었 기 때문에 이것에 대해 매우 슬펐습니다. 
neutral,예 . 
neutral,왜 안돼? 
sadness,메릴은 그녀의 낙담에 웃었다. 
anger,타운의 팬들은 클럽의 선두 득점자를 잃는 것에 분노하고 있습니다. 
fear,마지막으로 느꼈던 것은 밤 늦게 집에 돌아올 때였습니다. 
neutral,그래서? 
fear,해외에서는 어둡고 구불 구불 한 길을 따라 차를 운전하면서. 
neutral,그래. 
anger,"이것은 영어를 강요 받고 ""법령에 따라""문제를 해결할 것이라고 말하는 독일 인들에게 상당한 짜증을 일으 킵니다. "
anger,스테파니! 방금 학교에 가셨나요? 하지만 당신은 내가 오늘 아침에 기숙사를 떠났을 때 일어났습니다! 그것은 약 1 시간 반 전이었습니다. 이것은 항상 발생합니다! 아침을 준비하는데 왜 항상 그렇게 오래 걸리나요? 
neutral,더? 
fear,아마도 벽화가 새롭고 뻔뻔스럽게 벽에 무언가가 쏟아진 것처럼 밝게 비춰 졌을 것입니다. 그리고 불안하고 기대하는 눈으로 무대를 보는 주말 후원자들의 불안한 구색. 
fear,정문 뒤에는 크게 동요 한 듯 보이며 윤기 나는 대머리가 추위에도 불구하고 땀을 많이 흘리며 땀을 흘리는 작은 남자가 있었다. 
neutral,가난한 사람 . 
joy,내가 대학 간호 대학에 선택되었을 때. 
neutral,"아, 알겠습니다. "
joy,"내가 대학에서 학생으로 받아 들여졌을 때, 가능하다고 생각하지 않았습니다. "
joy,"나는 전직 플랫 메이트로부터 청첩장을 받았는데, 그녀가 아파트를 떠난 상황으로 인해 우리 사이에서 일어난 많은 차이를 극복 한 작은 쪽지를 동봉했습니다. "
anger,여성 반 친구는 항상 사교 모임이 아니라 숙제를위한 모임에 늦었습니다. 우리는 매우 바빴고 마감일이 가까웠지만 그때는 아무것도 할 수 없었기 때문에 그녀를 기다리느라 30 분 또는 1 시간을 낭비해야했습니다. 
sadness,"아뇨, 부인. 나는 그렇게 생각하지 않는다. "
neutral,"아니, 난 그냥 친구들과 재미로. 우리는 두 손으로 터치하거나 축구를합니다. 우리는 태클 축구를하기에는 너무 늙었습니다. "
fear,"나는 집에 혼자 있었는데, 한 남자가 잠겨있는 현관 문을 강제로 열고 창문을 열려고했습니다. "
fear,내일을 두려워하지 않습니다. 어제 보았고 오늘을 사랑합니다 #less 
neutral,당신은 나를 사랑합니까 ? 
fear,Lingadzi Inn에서 왔을 때 밤에 Lingadzi 정글에서 울고있는 하이에나를 들었습니다. 난 혼자였다. 
joy,"음, 즐거운 시간 보내세요! "
sadness,"겁에 질린 그는 자세를 굳 혔고, 그의 눈은 약간 흐려졌다. "
anger,나는 여기서 변명을 찾는 것이 아닙니다. 이건 제 시간에 끝내고 싶어요! 
sadness,작년에 두 과목에 실패했을 때. 
joy,받침대 랄프는 도개교 중앙에 서서 귀에서 귀까지 뻗어있는 기쁜 미소를 보였습니다. 
sadness,내 약혼자는 내 가장 친한 친구를 위해 나를 떠났다. 
anger,며느리와 내가 불을 피우려고 장작을 자르 러 갔을 때 시아버지의 형이 내 옷을 훔 쳤을 때. 
anger,그녀가 그를 더 잘 알지 못했다면 그가 그녀와 교차했다고 말했을 것입니다. 
joy,"바다 절벽, 침묵과 새의 갑작스런 목소리 (만의 백조) "
neutral,그렇습니까? 
anger,나는 나를 사랑하는 척하는 어떤 청년과 사랑에 빠졌지 만 어느 날 그는 내 친구이기도 한 다른 여자 친구가 있다는 것을 알게되었습니다. 
sadness,"내가 함께 살고있는 소녀의 일기를 읽었을 때, 그녀가 얼마 전에 함께 다니던 다른 소년에 대한 이야기였다. "
anger,친구와 내가 남자 친구에게 농담을했을 때. 그녀의 남자 친구가 와서 모든 것을 계획했다고 비난하고 남자 친구를받을 자격이 없다고 말했습니다. 그는 군중 앞에서 나를 부끄럽게했다. 
sadness,미안해. 나는 몰랐다. 나는 아무것도 망칠 의도가 없었습니다. 
joy,예를 들어 11 학년 때 불가리아어 문학 올림피아드에 출전했다는 사실을 알게되었습니다. 
joy,그들은 관중들과 지방 당국의 일반 단체들에 기뻐했습니다. 
anger,그것은 거짓말이 아닙니다! 
neutral,친구 엄마와 피크닉을하고 싶어요. 
joy,"나는 이것에 대해 황홀하다, 그것은 나의 23 번째가 아니라 나의 첫번째 모자를이기는 것과 같다. "" "
anger,그가 남자의 남자로 인식된다고 말했을 때 그는 기분이 상한 것 같습니다. 
joy,아버지 생일 직전에 시험을 잘 보았습니다. 아버지 께 드릴 수있는 최고의 선물입니다. 
fear,"`당신이 내 영혼을 염려했다고 말하는 건가요? ""그녀는 조롱했다. "
anger,체스 챔피언십에서 뛰었을 때 다른 사람들에게 방해를 받았습니다. 나는 그들에게 조용히하라고 요청했지만 헛된 것입니다. 
neutral,그는 누구를 손상시키고 있습니까? 
fear,이런 일이 발생하면 그들은 공포에 휩싸 일 것입니다. 
joy,나는 이전에 더 잘 이해하고 싶었던 주제의 내면에서 이해를 얻었습니다. 
anger,수상한 소리가 없나요? 
joy,레알 마드리드의 농구 팀이 아테네에서 결승전에 진출한 날. 
sadness,오래 지속되는 관계의 헤어짐. 
fear,# 남근은 말라야와 아시아 남부의 다른 지역에서만 볼 수있는 복부로 빠져 나가는 것입니다. & # xA ;. 
neutral,비행기로 . 
sadness,그녀는 어머니가 울지 않았거나 슬픔을 나타내지 않았기 때문에 자신과 아버지의 부모 외에는 누구에게도 사랑받지 못했다고 생각했습니다. 
neutral,물론이야 . 
neutral,이 하나 . 
sadness,John은 Norfolk로 옮겨져 상병으로 승진했으며 거의 매일 Anne에게 편지를 써서 어머니에 대한 슬픔을 더 견딜 수 있도록 도와주었습니다. 
fear,약 2 시간 전에 커피를 마 셨는데 지금은 멍청이와 함께 개자식처럼 다가오고 있어요! 나를 진정시키기 위해 2 개의 naggins가 필요합니다 !!! 
anger,그것은 격분합니다. 나는 5 시까 지 로마에 있어야한다. 
joy,공부를 마치기 전부터 직업에 뽑 혔을 때 제 기쁨은 끝이 없었습니다. 
anger,출산 후 나를 치료하는 의사에게 분노합니다. 그들은 태반의 일부를 남겨두고 12 주 동안 심하게 피를 흘 렸습니다. 이로 인해 나는 약하고 감정적으로 느껴졌고 정신과 치료가 필요하고 지원을 제공하지 않는다고 말했습니다. 
fear,고등학교에서 급우들과 싸우기. 
neutral,감사합니다 . 
fear,기숙 학교에 다니는 딸이 매우 아파서 같은 날 거기에 나를 필요로한다는 말을 들었을 때. 
joy,흥미 롭다. 나는 편집자가되는 것을 좋아한다. 
anger,오늘 한 남자가 저를 강탈했습니다. 
neutral,왜 그것을 좋아하는지 말해 줄 수 있습니까? 
joy,물론 좋아합니다. 
sadness,"`우리는 그것에 대해 매우 강하게 느낍니다. 그리고 미래의 아이들을 위해 법이 바뀌어야합니다. 그래야 아이들이 별거의 고통을 피하고 접촉이 전혀 없어야합니다. "" "
sadness,그러나 당연히 많은 부모들은 자녀들에 대해 계속해서 불안하고 긴장하며 슬픔을 느낍니다. 
anger,"그는 계급, 위선, 설립에 대해 화를 냈습니다. "
sadness,"우리 할머니는 여름에 돌아가 셨습니다. 나는 그녀를 아주 잘 알고 있었고, 그녀는 훌륭한 비스킷을 구 웠습니다. 그녀는 병원에 있었지만 개선되어 곧 집으로 돌아갈 것으로 예상되었습니다. 그녀는 잠에서 죽었습니다. "
joy,보자. 클럽 게이트에서 6시 30 분 어때? 
sadness,처음으로 표준 8 시험에 실패했을 때. 
neutral,그리고 리사. 
anger,`네 아버지가 내 팔을 비틀려고했을 때 너무 화가 났어. 
fear,"배에 실은 낚싯줄에서 거대한 장어를 잡았습니다. 나는 선을 자르고 전체를 물에 다시 던졌습니다. 그날 늦게 그리고 약 10 마일 떨어진 곳에서 나는 수영을 갔고 누군가가 뱀장어가 얼마나 멀리 헤엄 칠 수 있는지 궁금해하는 말을했고, 나는 우리가 지역을 떠날 때까지 며칠 동안 보이지 않는 뱀장어를 두려워하여 갑자기 수영을 끝냈습니다. "
joy,제 학생이 (음악에서) 연주하고 놀랐을 때. 
anger,나는 그들을 법정에 데려 가고 싶다. 
joy,결국시는 우정에 대한 순수한 기쁨의 표현으로 읽어야합니다. 
sadness,"외로움, 가을에 나 자신에 대해 불확실 함. "
joy,여동생의 결혼식에서 Tchaikovsdy 교향곡 2 번 4 악장의 오프닝 바를 듣고 있습니다. 
joy,댄스를 부탁해도 될까요? 
sadness,어머니가 돌아가 셨을 때. 
sadness,나는 당신이 할 수 없습니다 두려워합니다. 당신은 거기 나가서 걸어 다녀야 할 것입니다. 
anger,그가 이해할 수 있기를 바랍니다. 이 일이 계속되면 다른 사람들과 같이 달라 붙을 것 같아요. 
joy,현재의 남자 친구가 처음에 그와 함께 나가자고했을 때 나는 이것이 일어나기를 오랫동안 기다렸다. 
anger,춤을 추는 동안 누군가가 내 타이어를 깎고 내 차에 페인트를 버렸습니다. 운전했던 친구가 4 명 더 있었는데 비가 내리기도했습니다. 
anger,친구가 여러 번 심하게 구타 당하고 찔 렸고 그것을 한 사람은 법의 처벌없이 도망 쳤다. 
neutral,이유없이 ? 
anger,"그게 사실 일 수도 있고, 저는 누군가가 직장을 잃는 것을보고 싶지 않습니다.하지만이 Ces가 수백만 달러를 벌고있을 때 어떻게 구제 금융을 요청할 수 있습니까? 그리고 그들은 개인 제트기를 타고 워싱턴으로 날아갈 용기가 있습니다! 이것은 수십만 달러의 비용이 듭니다! 그리고 그들은 돈을 요구하고 있습니다! 그것은 옳지 않습니다! "
sadness,내가 아주 가까운 친할머니의 죽음은 암으로 죽었습니다. 
neutral,"글쎄, 항공 노선은 돌아 오는 비행기에서 짐을 잃어 버렸고 담당 경찰들과 함께 태클을하던 중 기내 가방을 잃어 버렸다. 예상보다 3 시간 늦게 공항을 떠 났는데 교통 체증에 걸렸습니다. 마침내 집에 돌아 왔을 때 나는 완전히 지쳤습니다. 그러나 나는 정전으로 인해 엘리베이터가 작동하지 않는 것을 발견했습니다. "
joy,"정말 흥분 되네요, 어머니. 오, 새 아기! "
sadness,초등학교의 옛 선생님이 돌아가 셨습니다. 
neutral,기분이 어때 
anger,부모님은 제가하지 않은 일에 대해 많이 꾸짖 으 셨습니다. 그것을 한 것은 내 여동생이었습니다. 
anger,직장에서 한 노인이 나에 대해 부당하게 불평하고 나를 불신했을 때. 
anger,"그건 내 대사 였어, 마크. 나는 우리가 함께 광고 작업을했다는 것을 알고 있지만, 그것은 확실히 내 라인이었다. "
anger,부모님과 다투었을 때. 
fear,나는 친구들과 놀다가 근처로 움직이는 차에 모래를 뿌리기로 결정했습니다. 운전사는 화가 나서 부모님에게보고하러 왔습니다. 
joy,아마도 그녀 만이 좌익 정치의 생생한 흥분 때문에 학문적 학문을 소홀히했던 건방진 잭더 라드부터 모두를위한 답을 가진 측정 된 정치인에 이르기까지 그가 만든 여정을 알고있을 것입니다. 
fear,가무 즈 간호 전문 학교 면접을 요청 받았을 때. 
sadness,내 여자 친구가 나를 떠나고 싶다고 말했을 때. 
anger,거리에 사람이별로없는 오후에 혼자 길을 걷고있었습니다. 두 사람이 나를 따르고 있었고 나는 그들을 무시했습니다. 갑자기 그들 중 한 명이 내 앞에 와서 더러운 말을 사용하고 나를 괴롭히기 시작했습니다. 나는 매우 화가 나서 그들에게 반격하고 싶었습니다. 
fear,나는 집을 떠나 공부를 위해 헬싱키로 이사하는 것을 두려워했습니다. 
joy,나는 일을 그만 두었다 (지루한 일을했다). 
sadness,나는 병으로 한 달을 기다렸다가 내 사랑을 만날 수 없었다. 
anger,내 테니스 경기가 중단 됐을 때 한 아이가 바로 코트에 들어갔다. 
fear,나는 의사에게 가기 전에 두려웠다. 
anger,솔직히 말해서 끔찍했습니다! 내 매니저는 목이 아프다! 
anger,나는 확률이 내 유리하지 않은 것처럼 보였기 때문에이 특별한 날에 짜증이났다. 할아버지는 내가 중요한 약속을했을 때 불에 연료를 더 해주셔서 그에게 분노를 표출했습니다. 
sadness,"Royal Bank의 낙담 한 David Mellor는 잡지 Doctor에게 이렇게 말했습니다. "" "
joy,오랜만에 집에 돌아 왔을 때 사랑하는 사람들과 친한 친구를 만났습니다. 
sadness,그녀가 낙담 한 한숨을 쉬며 쫓아 온 공항의 사물함을 사용하겠습니다. 
anger,"아무도 그가 Sukey와 절대적으로 열중했다는 것을 그의 얼굴에서 말할 수 없었지만, 그는 인터뷰 전에 Daisy와 gee Perdita를 화나게 할 행을 원하지 않았습니다. "
joy,패딩턴은 그의 말을 들으면서 점점 더 흥분했습니다. 
sadness,나는 수학에서 일부 과목에서 실패했습니다. 
joy,10 일간의 학생 캠프를 마치고 행복했습니다. 우리는 우리의 희망과 열망을 공유했고 그렇게 생성 된 열린 상황에서 강한 frienships를 만들었고 우리 자신의 가치도 경험했습니다. 
neutral,중간. 
anger,새로운 컴퓨터 소프트웨어가 나를 미치게 만들고 있습니다! 정말 휴식이 필요 해요! 
joy,이해 했어요 . 
anger,나는 정말로 그를 내 무릎 위로 데려 가고 싶다. 
fear,나는 우연히 삼촌의 라디오 플레이어를 망가뜨려 서 그가 나를 그의 집에 가거나 다시 연주하는 것을 차단 할까봐 두려웠다. 
anger,이유없이 사랑하는 사람에게 남겨졌을 때. 
joy,여름 방학 동안 저는 몇 명의 다른 자원 봉사자들과 함께 커뮤니티 청소년 센터를위한 카니발을 계획했습니다. 나는 주최측의 책임자 였고 우리는 그것을 계획하는 데 한 달 이상을 보냈습니다. 이 기간 동안 우리는 서로를 알고 이해하게되었습니다. 우리는 서로의 잠재력을 발견했고 카니발을 위해 많은 흥미로운 것들을 계획했습니다. 카니발의 날은 모든 것이 밝았고 프로그램은 잘 진행되었으며 참석자들은 그것을 즐겼습니다. 나는 그것에 대해 매우 흥분했다. 
fear,스티븐! 무슨 일이야 ! 그 사람들은 누구였습니까? 총 가지고있는 줄 몰랐어요! 무슨 일이야 ! 
fear,협력해야하는 새로운 사람들을 만날 때. 
fear,우리 중 일부는 공포로이 전망을 생각합니다. 
neutral,안녕 ! 
neutral,확인 . 
sadness,당신은 정말 힘들어요. 당신은 거래를 얻었다. 
anger,윌러의 고운 얼굴은 짜증이 나고 웃었다. 
neutral,필체를 향상시키고 싶은데 몇 주 동안 연습했지만 아무 일도 일어나지 않았습니다. 제 손글씨는 여전히 나쁩니다. 
sadness,나는 다른 사람에게 경멸 당했을 때 슬펐습니다. 
sadness,그녀는 약간 기분이 나쁘게 들렸다. 
joy,제가 중등 학교에서 소녀를 처음 제안했을 때 기쁨이 찾아 왔습니다. 
joy,그라츠에서 보낸 첫 주 동안 나는 암스테르담에서 그라츠로가는 기차에서 알게 된 소녀를 만났습니다. 나는 그녀를 매우 동정한다고 생각했지만 우리는 당신의 주소를 바꾸지 않고 헤어졌습니다. 
joy,"글쎄, 네. 다른 부서의 여러 동료들이 저를 도와주었습니다. 그들은 매우지지 적입니다. 지난주에 경제 전문가와 상담했습니다. 그는 귀중한 제안을 매우 친절했습니다. "
fear,이제 그는 여기를 찾고 있습니다! 그가오고있다! 
joy,저는 시카고에서 왔습니다. 
neutral,계속하세요. 
joy,1 년이 지난 후 남자 친구와 다시 돌아옵니다. 
neutral,당신도 그렇습니다. 
joy,"나는 다른 세상에서 기뻤고, 흥분했다. "
neutral,나는 제 시간에 거기에있을 것이다. 
neutral,"안녕, 패니. "
fear,30 분 만에 3 시간 문법 결승. 
anger,"나는이 감정을 자주 경험하지만 내가 가장 화가 난 날은 내가하지 않은 일에 대해 당황한 날이었다. 학창 시절에 일어난 일인데, 수업 시간에 한 마디도하지 않았지만 모니터는 칠판에 내 이름을 적었습니다. 그래서 저는 전화를 건 사람에게 부모님의 서명을 받아야하는 발언을했습니다. 이 말은 나를 때리는 결과를 낳았습니다. "
joy,"좋아요, 거기서 만나요. "
sadness,안녕 . 길거리에서 쇼핑 할 때 지갑을 잃어 버렸어요. 누군가 나 한테서 훔친 것 같아요. 
neutral,그래. 
sadness,할머니가 돌아가 셨을 때. 
sadness,소수에게만 그는 그들의 사적인 슬픔을 찬미하는 악마였다. 
neutral,그 말을 들으니 정말 유감입니다. 나는 즉시 그것을 돌릴 것이다. 
joy,"어느 날 밤 나는 두 친구와 아주 좋은 대화를 나누었습니다. 그런 다음 나는 그들이 나에게 얼마나 합당한 지, 그리고 그들을 친구로 갖는 것이 얼마나 행복했는지 깨달았습니다. "
fear,어느 날 밤 집에서 혼자 침대에서자는 동안 복도에서 발소리가 들리는 것을 상상했습니다. 
anger,우리 고양이가 교통 사고로 죽었을 때 나는 그가 충분히 돌보지 않았기 때문에 자동차 운전자에게 매우 화가났습니다. 
joy,이 남자는 나를 만나서 그다지 흥분되지 않고 친구에게만 의무를 부과하는 에이전트를 소개했습니다. 
sadness,죄송합니다. 가격이 정해져 있습니다. 
fear,"그것은 여전히 내가하고 싶었던 일이었고, 포괄적 인 학교라고 생각한다면 온화한 불안한 정신이었다. "
fear,당연히 아니지 . 나는 그들을 두려워합니다. 
sadness,학기 중에 한 점씩 시험에 합격하지 못했다는 사실을 알았을 때. 지난 학기에 똑같은 일이 일어났다는 사실은 도움이되지 않았습니다. 
joy,내가 아주 좋아하는 사람에게서 작은 선물을 받았을 때. 
neutral,왜 ? 
neutral,예 . 
neutral,문제 없어요 . 
fear,"공부를 시작하기 직전에 이사를해야했고, 혼자 남겨지는 것이 너무 두려웠 고 관리 할 수 없었습니다. "
fear,조금 겁이 날 것 같아요. 
fear,분명히 RLD는 당시 Vanguard 사고의 세부 사항을 알지 못했지만 사고에 대한 보고서의 후속 발표는 그들의 불안을 강화했을 것입니다. 
neutral,뭐 ? 
fear,"비명을 지르고 술에 취한 젊은이들이 트램을 \ ""포획 \""했습니다. "" "
joy,이제 그는 행동 과정에 전념 했으므로 그는 기분이 좋았습니다. 
joy,오랜 시간의 검색 끝에 첫 직장을 얻었습니다. 
neutral,나에게 당신에 대해 말해 
fear,그리고 내가 내 감정을 병에 담아서 병을 터뜨리는 것도 알아 .. 적어도 나는 모든 것을 공개했다 .. 
sadness,"그래. 이봐, 미안하지만 가봐야 겠어. "
neutral,지금 ? 
sadness,이 문제를 일으켜서 정말 죄송합니다. 
anger,버스에서 성폭행을 당하고 아무도 도와주지 않았습니다 (사람들은 웃을뿐입니다). 
fear,나는 집에 있었고 강도가 우리 집에 침입하는 소리를 듣고 자고있었습니다. 
anger,친구는 내가 원할 때 공부하게하지 않는다. 그녀는 내가 공부할 필요가 없다고 느끼고 공부가 나에게 얼마나 중요한지 이해하지 못합니다. 나는 그녀에게 매우 화가 난다. 
joy,내가 좋아하는 사람에게서 뜻밖에 생일 인사를 받았을 때. 
sadness,남자 친구와 잠시 떨어져있을 때 슬펐습니다. 
joy,그녀는 그에게 재빨리 재 빠르게 눈을 떴다. 그녀의 머리는 알 코브 좌석의 희미한 빨간색에 기대어 있었다. 
neutral,뭐 ? 
sadness,varsity에 등록하고 특정 서류를 볼 수 없다고 들었습니다. 
fear,이웃집에 침입하려는 누군가가 내 이웃의 생명을 위협했을 때. 
anger,개를 산책하는 사람이 내 집 밖의 보도에서 배변을 허용했습니다. 전에도 그랬지만 처음 목격했습니다. 내가 PY 263에서 배운 모든 기술은 나의 항의에 대한 그의 무관심이 나에게 분명했을 때 창 밖으로 던져졌다. 
anger,특정 시간에 누군가와 약속을 잡았습니다. 다른 사람은 나타나지 않았습니다. 
anger,갈고리로 물고기 대신 갈매기를 잡는 스포츠 어부들. 그것은 종종 실수이지만 나를 화나게합니다. 
anger,불만을 제기하고 싶습니다. 
anger,차를 주차하고 싶었 기 때문에 주차 장소를 떠나려는 차 뒤에서 기다리고있었습니다. 다가오는 교통 체증 때문에 나는 잠시 기다려야했다. 다른 운전자가 그의 차를 그 자리에 놓았다. 
neutral,나는 희망한다 . 
fear,나는 매 시험 전에 두려워합니다. 
anger,제 남자 친구에게 다른 여자가 있다는 것을 알게되었을 때였습니다. 나는 그가 집에 없을 때 그 소녀에게 쓴 편지를 통해 그것을 발견했습니다. 내가 그에게 물었을 때 그는 그것을 받아 들였습니다. 
anger,"제 2 차 세계 대전 당시 나치 독일에서 유대인의 소위 '치료'에 대한 사진을 처음 본 것입니다. "" "
joy,부모님 께 최선을 다해주십시오. 
fear,나는 치과 의사가 싫어 ... 열정으로 ... 
joy,"내가 런던에서 \ au-pair-girl \ ""으로 일했을 때 좋은 친구로부터 전화를 받았는데 그 친구도 그녀가 런던에 있고 나를 만나고 싶다는 말을 들었습니다. 저는 매우 기뻤습니다. 나는 그녀를 보았다."" "
anger,어머니는 내가 어린 아이처럼 나를 부당하게 대하셨습니다. 나는 의미있는 말을했다. 나는 자신을 적절히 방어 할 수 없었습니다. 
anger,누군가 그의 집에서 나를 쫓았을 때. 
anger,친구가 실수로 프로젝트를 파괴했을 때 저는 오랫동안 열심히 일했습니다. 나는 그를 오랫동안 용서할 수 없었다. 그리고 때때로 여전히 그에게 화를냅니다. 
neutral,무엇처럼 ? 
joy,그것은 과학자들이 스스로 만드는 것보다 천연 재료를 사용하기 때문에 훌륭합니다. 나는 인공 요법보다 자연 요법을 선호합니다. 
fear,@rAguC는 가장 큰 위협입니다. #TN이 watr lvl을 120만큼 줄이면 절반의 걱정이 사라집니다. #tooSelfishforaction 
anger,그의 얼굴은 활기차고 그의 손은 그의 칼에 박수를 쳤다. 
sadness,"두 친구와 좋은 관계를 가졌습니다. 한 번 이유없이 그들은 내가 순진하고 지루하며 스스로를 돌볼 수 없다고 생각하는 것을 분명히 보여 주었고, 나는 내가 일을 처리 할 수 있다고 해명했다. "
fear,Number 10과 Number 11 Downing Street의 덜컹 거리고 신뢰할 수없는 도박꾼 들과는 얼마나 대조적입니다. 
joy,당신은 종종 자녀를 부모와 비교하는 것을 좋아합니다. 
anger,알아 . 그러나 나는 내가 요점을 강조하려고 할 때 그녀를 참을 수 없다. 
sadness,가까운 친척의 죽음. 
anger,내가 초대 한 사람이 정해진 날짜와 시간에 오지 않았을 때. 
sadness,1970 년 9 월 25 일 아버지를 잃었을 때. 그는 다리 통증으로 사망했습니다. 
sadness,"미안해, 루시. 나는 일어날 수없는 것이 두렵다. "
sadness,당신을 실망시키다 . 내가 어떻게 든 당신에게 그것을 만들 것입니다. 
anger,"그러나 오늘, 옥스포드 대학 스포츠 디렉터는 그녀의 배제에 분노했습니다. "
neutral,나는 이번 여름에 졸업 할 예정이다. 
sadness,내 가장 친한 친구는 결혼하고 고향을 떠나 Poona에 살았습니다. 그녀의 결혼식 후 나는 슬펐다. 
anger,어느 날 나는 내가 좋아하는 셔츠를 햇볕에 쬐고 동생이 그것을 빼앗아 입었을 때 그것을 옷장에 다시 넣었다. 그는 목욕을하지 않았고 매우 더럽습니다. 나는 그를 꾸짖었지만 그는 대답하고 방에 가두었다. 나는 매우 화가 나서 문을 차고 큰 소리로 자유롭게 그를 학대하기 시작했습니다. 
anger,고용주가 알지 못하고 의사 소통 없이도 은행 계좌가 변경되고 개인 계좌가 폐쇄되었습니다. 
anger,내가 무언가에 대해 알지 못했고이 사람에 대한 가장 큰 신뢰를 얻었다는 사실. 
neutral,취미가 있습니까? 
neutral,약속? 
fear,1986 년에 지방 당국은 D가 입은 부상에 대해 염려하게되었고 그들은 안전 명령을 받았습니다. 
joy,나는 모두 새로운 영역이었던 Trossachs에 대한 첫 번째 Ramble의 흥분을 잃어 버렸다. 
fear,"""우리가 여기서 감정을 무시하는 모든 것을 엿 먹어라 ... 난 결코 혼자가 아니야. 난 항상 혼자라고 느낀다"" "
sadness,그는 너무 끔찍한 표정으로 프레스톤이 그를 미안하다고 느꼈다. 
fear,내가 허락없이 잘못된 시간에 학교를 나갔다는 것이 발견되었을 때. 
fear,Lmao. 귀엽다. RT @ThaMagicTouch : 이건 좀 귀여워요 RT @Thee_Tyson : RT @AliHMirza : #FEAR = Forget Everything and Rap ... 
